key-for-ranking,Metro_2013,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016
1067,1.0,5.4,7.7,11.2,10.9,9.7,8.3,7.7,7.5,6.8,6.5
1069,1.0,3.3,4.9,9.3,9.1,8.6,7.5,6.9,6.8,6.2,5.8
1071,0.0,4.5,6.2,12.8,11.8,10.3,8.6,7.9,7.3,6.7,6.3
1073,1.0,3.9,5.4,10.8,10.3,9.3,7.4,6.7,6.3,5.8,5.7
1075,0.0,6.3,8.0,16.0,13.2,9.7,7.5,7.0,7.0,6.3,5.6
1077,1.0,4.3,5.7,10.7,10.1,9.1,7.7,7.1,7.2,6.9,6.3
1079,1.0,4.1,6.5,13.6,12.6,10.9,9.0,8.3,8.2,7.7,6.9
1081,1.0,3.6,5.2,9.4,9.0,8.1,6.8,5.9,5.6,5.2,5.2
1083,1.0,3.3,4.7,9.8,9.6,8.6,6.9,6.3,6.1,5.5,5.2
1085,1.0,7.5,10.9,19.3,18.5,17.7,15.4,14.1,12.8,11.5,10.5
1087,0.0,5.4,7.4,12.2,14.8,14.0,10.7,9.6,9.1,8.1,7.6
1089,1.0,3.1,4.2,8.0,8.3,8.3,6.9,6.3,6.2,5.5,5.1
1091,0.0,5.3,7.4,14.2,13.7,12.6,10.2,8.9,8.0,7.6,7.1
1093,0.0,5.2,8.0,16.6,13.6,11.2,8.9,7.9,7.9,6.9,6.6
1095,0.0,3.4,4.7,10.2,9.6,9.4,7.8,6.8,6.7,5.8,5.3
1097,1.0,4.0,5.7,11.3,11.3,10.8,9.2,8.5,7.7,6.9,6.6
1099,0.0,6.4,10.2,19.5,18.1,15.7,12.5,11.9,11.1,10.1,9.0
1101,1.0,4.1,5.9,10.5,10.0,9.7,8.1,7.3,6.9,6.1,5.6
1103,1.0,3.5,5.2,10.8,10.8,9.4,7.8,6.9,6.6,5.9,5.5
1105,0.0,8.4,11.3,19.9,16.8,16.5,13.3,13.5,12.1,10.0,10.3
1107,1.0,5.0,7.1,13.7,13.1,12.0,10.2,9.3,8.2,6.8,6.9
1109,0.0,4.0,4.9,9.5,9.4,8.9,8.0,7.6,7.4,6.6,6.5
1111,0.0,5.1,7.3,14.9,13.4,11.4,9.2,7.8,6.7,5.9,5.6
1113,1.0,6.1,8.0,12.3,10.9,10.3,8.8,7.2,6.5,5.9,5.5
1115,1.0,3.4,5.0,10.9,10.1,8.8,6.9,6.1,5.8,5.2,5.2
1117,1.0,2.6,3.7,7.8,7.1,6.2,5.0,4.6,4.5,4.2,4.3
1119,0.0,6.5,8.7,14.9,13.3,13.1,10.5,9.0,8.5,8.0,7.7
