UNITID,OPEID,OPEID6,HCM2,PREDDEG,LOCALE,CONTROL,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25ABV
448442,732931,7329,1,2,11.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.37799999999999995,0.0,0.0,0.0,0.37799999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.2476,0.5674,0.1034,0.0282,0.0063,0.0,0.0251,0.0,0.0219,0.3166,0,,24870.0,,,,,,24406.0,25734.0,26466.0,28098.0,,0.8184,0.0,,0.0,,0.8049,0.7182
446589,3856300,38563,0,1,21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9559,0.0441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4745,1,,19870.0,,,,,,19870.0,,,,,0.7444,,1.0,,1.0,0.7444,0.7368
420343,793810,7938,0,1,21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27699999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,0.4551,0.0808,0.3026,0.0308,0.0,0.0013,0.0115,0.0,0.1179,0.3038,1,,14522.0,,,,,,13365.0,13622.0,15532.0,17626.0,17851.0,0.5388,,0.8721,,0.7739,0.736,0.1985
450766,275125,2751,0,3,41.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,950.0,0.0,0.0,0.0,0.0,0.2609,0.0,0.0,0.0,0.7391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.6667,0.0,0.1538,0.0256,0.0256,0.0,0.0,0.0,0.1282,0.2564,1,,,,,,,,,,,,,0.5536,,,,,0.7321,0.6071
248703,2230600,22306,0,1,21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.4167,0.1667,0.3167,0.0083,0.0083,0.0,0.0417,0.0,0.0417,0.3667,1,,17414.0,,,,,,16820.0,17834.0,18991.0,20185.0,20185.0,0.7228,,0.9158,,0.7963,0.7154,0.4907
444228,3746300,37463,0,1,31.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.6333,0.2333,0.0667,0.0,0.0,0.0,0.0667,0.0,0.0,0.0,1,,14231.0,,,,,,13064.0,12886.0,,18182.0,18356.0,0.74,,0.8182,,,0.6,0.1613
445911,730303,7303,0,1,21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1725,0.0,0.0,0.0,0.0,0.6454,0.0,0.0,0.0,631.0,0.3407,0.2916,0.1902,0.0111,0.0016,0.0016,0.0396,0.0,0.1236,0.3439,1,,18207.0,,,,,,17437.0,18441.0,18996.0,20214.0,22185.0,0.7026,,0.8525,,0.7619,0.8011,0.4361
421717,3116400,31164,0,1,32.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6571,0.3429,0.0,0.0,44.0,0.9773,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6372.0,,6372.0,,,,,,,,,,0.5857,,0.7778,,,0.0,0.8333
436599,3316400,33164,0,2,21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.9684,0.0,0.0316,0.0,0.0,0.0,0.0,0.0,0.0,0.8947,1,,36244.0,,,,,,32924.0,39565.0,,,,0.3947,,1.0,,0.8235,0.7368,0.6316
427973,3126300,31263,0,1,21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.3644,0.4364,0.07200000000000001,0.0085,0.0,0.0127,0.0593,0.0,0.0466,0.0424,1,,25835.0,,,,,,25596.0,25413.0,27287.0,29609.0,29609.0,0.5915,,0.5,,1.0,0.6511,0.6468
445984,3849300,38493,0,1,13.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,3556.0,,,,,,3556.0,,,,,0.9375,,0.7097,,,0.0,0.6970000000000001
439455,3468500,34685,0,1,21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9136,0.0,0.0,0.0,459.0,0.0719,0.8606,0.0458,0.0131,0.0022,0.0,0.0022,0.0,0.0044,0.4357,1,,36775.0,,,,,,36172.0,37656.0,38231.0,41131.0,,0.9881,,0.6111,,0.6726,0.9921,0.8313
444042,2260602,22606,0,2,21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0146,0.0,0.0117,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.0,0.0058,0.0,0.0,0.0,0.7982,0.0526,0.0,0.0,1783.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4835,1,,8579.0,,,,,,8358.0,9474.0,11927.0,,,0.8502,0.6098,,0.3333,,0.4601,0.4757
447069,1162601,11626,0,2,12.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0057,0.1705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3523,0.0,0.0,0.0,0.0,0.0,0.0,0.0795,0.1875,0.2045,0.0,0.0,344.0,0.0407,0.7297,0.1163,0.0029,0.0116,0.0,0.0349,0.0,0.064,0.314,0,,27610.0,,,,,,27553.0,28151.0,,,,0.7332,0.5,,0.0,,0.7709,0.6361
447403,822105,8221,0,1,21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,0.7175,0.0624,0.11599999999999999,0.0228,0.003,0.002,0.0476,0.001,0.0278,0.0,1,,17976.0,,,,,,15720.0,16809.0,18984.0,20663.0,20749.0,0.4065,,0.7068,,,0.6371,0.1994
407142,2548500,25485,0,1,12.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.9138,0.0603,0.0086,0.0172,0.0,0.0,0.0,0.0,0.0,0.0,1,,11011.0,,,,,,8731.0,8542.0,12480.0,13840.0,14414.0,0.4063,,1.0,,,0.5,0.2385
414568,732942,7329,1,2,21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0129,0.2387,0.0,0.0,0.0,0.2968,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1613,0.0,0.0,0.0,0.0,0.0,0.0,0.0903,0.0516,0.1419,0.0,0.0,500.0,0.336,0.626,0.012,0.004,0.006,0.0,0.002,0.0,0.013999999999999999,0.306,0,,23714.0,,,,,,23129.0,24477.0,25642.0,27528.0,27528.0,0.7639,,,,,0.8011,0.7286
448451,732972,7329,1,2,21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2738,0.0,0.0,0.0,0.3869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0536,0.0,0.0952,0.0,0.0,395.0,0.2835,0.0684,0.4557,0.0481,0.0304,0.0,0.0278,0.0,0.0861,0.1873,0,,23423.0,,,,,,22298.0,23874.0,24535.0,26113.0,27371.0,0.8223,,,,,0.795,0.6856
427991,3127900,31279,0,1,21.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0508,0.0076,0.0152,0.0,0.0,0.0,0.0,0.0,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198,0.0,0.0,0.0228,0.132,0.0,0.0,0.0,0.5457,0.0152,0.0,0.0,400.0,0.2625,0.1375,0.5475,0.0325,0.0,0.0075,0.0125,0.0,0.0,0.25,1,8687.0,,8572.0,9414.0,10095.0,,,,,,,,0.3593,,0.6798,,0.5,0.0,0.6297
